0.0000000000000000e+00,5.9998633600000000e+00,6.0000126499933106e+00,6.2639284599999998e+00,5.9893582121856834e+00,7.4793072599999997e+00,5.9631356162531066e+00
1.0000000000000000e-03,5.9991995300000003e+00,5.9990145856499302e+00,6.0837662699999999e+00,5.9884020414145267e+00,6.1419305299999998e+00,5.9623055619138787e+00
2.0000000000000000e-03,5.9982315399999999e+00,5.9980205174610708e+00,5.9671601299999999e+00,5.9874498085214469e+00,6.9476970900000001e+00,5.9614789538205990e+00
3.0000000000000001e-03,5.9970058699999997e+00,5.9970304414325746e+00,6.0613160300000004e+00,5.9865015095705338e+00,4.1598011899999996e+00,5.9606557885287454e+00
4.0000000000000001e-03,5.9961024600000004e+00,5.9960443535742778e+00,6.0145331000000004e+00,5.9855571406298109e+00,7.3679978799999999e+00,5.9598360625972369e+00
5.0000000000000001e-03,5.9949985799999999e+00,5.9950622499000019e+00,6.0337390199999996e+00,5.9846166977712345e+00,4.5166883200000001e+00,5.9590197725884302e+00
6.0000000000000001e-03,5.9941286099999997e+00,5.9940841264275573e+00,5.9734807700000001e+00,5.9836801770706840e+00,6.2351620099999998e+00,5.9582069150681232e+00
7.0000000000000001e-03,5.9931142499999996e+00,5.9931099791787279e+00,6.0237473000000001e+00,5.9827475746079610e+00,6.6283984000000000e+00,5.9573974866055419e+00
8.0000000000000002e-03,5.9919772299999998e+00,5.9921398041792795e+00,6.0395314800000000e+00,5.9818188864667867e+00,6.6338067399999998e+00,5.9565914837733418e+00
8.9999999999999993e-03,5.9911723500000003e+00,5.9911735974589488e+00,6.2674050399999999e+00,5.9808941087347964e+00,4.8865472099999998e+00,5.9557889031476048e+00
1.0000000000000000e-02,5.9902126200000003e+00,5.9902113550514393e+00,5.8984065499999998e+00,5.9799732375035362e+00,5.8619796600000003e+00,5.9549897413078359e+00
1.0999999999999999e-02,5.9893248400000001e+00,5.9892530729944191e+00,5.9399833800000001e+00,5.9790562688684554e+00,5.3480354999999999e+00,5.9541939948369578e+00
